query,intent
"Can you show me homes for sale in Los Angeles?",browsing
"I'm just browsing houses in San Diego to get a feel for the market.",browsing
"What do condos look like in San Jose these days?",browsing
"Can I see some listings in San Francisco?",browsing
"I'm casually looking at homes in Fresno.",browsing
"Show me what single-family homes look like in Sacramento.",browsing
"I'm exploring townhomes in Long Beach.",browsing
"Can you pull up some listings in Oakland?",browsing
"I'm browsing houses in Bakersfield.",browsing
"What do starter homes look like in Anaheim?",browsing
"Can you show me apartments in Riverside?",browsing
"I'm curious about homes in Stockton.",browsing
"Show me what condos look like in Irvine.",browsing
"I'm browsing homes in Chula Vista.",browsing
"Can you show me listings in Fremont?",browsing
"I'm exploring homes in Santa Clarita.",browsing
"What do townhomes look like in Santa Rosa?",browsing
"Can you show me houses in Modesto?",browsing
"I'm browsing homes in Oxnard.",browsing
"Show me what properties look like in Fontana.",browsing
"Can you show me homes with big yards in Los Angeles?",browsing
"I'm browsing condos near downtown San Diego.",browsing
"What do modern homes look like in San Jose?",browsing
"Show me loft-style apartments in San Francisco.",browsing
"I'm casually checking out homes in Fresno near parks.",browsing
"Can you show me homes with pools in Sacramento?",browsing
"I'm browsing houses in Long Beach near the water.",browsing
"What do updated homes look like in Oakland?",browsing
"Show me homes with large patios in Bakersfield.",browsing
"I'm browsing homes in Anaheim near Disneyland.",browsing
"Can you show me homes with fenced yards in Riverside?",browsing
"I'm exploring condos in Stockton near the waterfront.",browsing
"What do homes with open floor plans look like in Irvine?",browsing
"Show me homes with modern kitchens in Chula Vista.",browsing
"I'm browsing houses in Fremont near schools.",browsing
"Can you show me homes with big windows in Santa Clarita?",browsing
"I'm exploring homes with large garages in Santa Rosa.",browsing
"What do homes with vaulted ceilings look like in Modesto?",browsing
"Show me homes with outdoor kitchens in Oxnard.",browsing
"I'm browsing homes with decks in Fontana.",browsing
"Can you show me homes with updated interiors in Los Angeles?",browsing
"I'm browsing homes with walkable neighborhoods in San Diego.",browsing
"What do homes with hardwood floors look like in San Jose?",browsing
"Show me homes with skylights in San Francisco.",browsing
"I'm browsing homes with modern lighting in Fresno.",browsing
"Can you show me homes with landscaped yards in Sacramento?",browsing
"I'm browsing homes with large closets in Long Beach.",browsing
"What do homes with sunrooms look like in Oakland?",browsing
"Show me homes with bonus rooms in Bakersfield.",browsing
"I'm browsing homes with updated bathrooms in Anaheim.",browsing
"Can you show me homes with bright interiors in Riverside?",browsing
"I'm browsing homes with spacious layouts in Stockton.",browsing
